Portfolio_Manager_Property_Name,Property_type,Gross Floor Area,Year Built,Unit_of_Measure,Cost_avg,Consumption_avg,Avg_Consumption_per_Sq.ft
(Former) Bowles Arena,Ice/Curling Rink,27340.0,1972,L (Litres),326.17,489.43,0.018
(Former) Bowles Arena,Ice/Curling Rink,27340.0,1972,kWh (kilowatt-hours),6152.26,40668.75,1.488
(Former) Spring Garden Road Public Library,Library,36972.0,1949,L (Litres),1907.25,2815.01,0.076
(Former) Spring Garden Road Public Library,Library,36972.0,1949,kWh (kilowatt-hours),1529.55,10190.97,0.276
Acadia School,Office,34110.0,1948,L (Litres),894.13,1140.86,0.033
Acadia School,Office,34110.0,1948,kWh (kilowatt-hours),5336.74,32924.89,0.965
Alderney Gate,Office,279400.0,1988,kWh (kilowatt-hours),14031.93,165289.04,0.592
Alderney Landing,Performing Arts,32000.0,1999,L (Litres),290.3,421.05,0.013
Alderney Landing,Performing Arts,32000.0,1999,kWh (kilowatt-hours),7637.76,50893.45,1.59
Beaver Bank - Kinsac Community Centre,Fire Station,37900.0,2004,kWh (kilowatt-hours),8287.65,44716.36,1.18
Beechville Lakeside Timberlea Recreation Centre,Other - Recreation,14930.0,1956,L (Litres),437.31,606.32,0.041
Beechville Lakeside Timberlea Recreation Centre,Other - Recreation,14930.0,1956,kWh (kilowatt-hours),321.36,2047.46,0.137
Bmo Centre,Ice/Curling Rink,157345.0,2010,kWh (kilowatt-hours),23676.26,214797.64,1.365
Canada Games Centre,Other - Recreation,175252.0,2010,kWh (kilowatt-hours),28576.37,279963.13,1.597
Captain William Spry Community Centre,Heated Swimming Pool,48033.0,1985,L (Litres),9875.97,14011.53,0.292
Captain William Spry Community Centre,Heated Swimming Pool,48033.0,1985,kWh (kilowatt-hours),4653.76,42278.46,0.88
Centennial Arena,Ice/Curling Rink,28000.0,1967,kWh (kilowatt-hours),5852.76,53094.74,1.896
Centennial Pool,Heated Swimming Pool,17430.0,1967,kWh (kilowatt-hours),5356.79,37631.21,2.159
Chocolate Lake Community Recreation Centre,Other - Recreation,26290.0,1948,L (Litres),1782.22,2502.66,0.095
Chocolate Lake Community Recreation Centre,Other - Recreation,26290.0,1948,kWh (kilowatt-hours),889.87,5619.09,0.214
Cole Harbour Place,Other - Recreation,194344.0,1975,kWh (kilowatt-hours),25935.68,275958.24,1.42
Dartmouth Bridge Transit Terminal,Transportation Terminal/Station,8860.0,2012,kWh (kilowatt-hours),952.41,11228.56,1.267
Dartmouth Ferry Terminal,Transportation Terminal/Station,46611.0,1979,kWh (kilowatt-hours),3758.48,27608.57,0.592
Dartmouth North Community Centre,Other - Recreation,13175.0,1996,kWh (kilowatt-hours),1055.03,10934.31,0.83
David P Mckinnon Building,Police Station,62640.0,1974,kWh (kilowatt-hours),8879.15,116890.78,1.866
Devonshire Arena,Ice/Curling Rink,20120.0,1972,L (Litres),398.15,605.87,0.03
Devonshire Arena,Ice/Curling Rink,20120.0,1972,kWh (kilowatt-hours),2320.36,15337.5,0.762
Dr Gerald J Lebrun Memorial Centre,Ice/Curling Rink,41390.0,1972,L (Litres),222.98,320.78,0.008
Dr Gerald J Lebrun Memorial Centre,Ice/Curling Rink,41390.0,1972,kWh (kilowatt-hours),8597.16,56164.36,1.357
