Portfolio_Manager_Property_ID,Portfolio_Manager_Property_Name,Unit_of_Measure,Year,Month,Cost,Consumption,Year Built,Property_type,Gross Floor Area
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,April,2666.73,27475.56,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,August,3642.82,25985.0,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,December,4353.02,50552.11,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,February,5116.17,47267.78,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,January,4370.98,38673.58,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,July,3006.82,19732.5,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,June,2322.74,19467.96,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,March,4842.34,49108.89,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,May,2554.6,23867.96,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,November,3693.43,38654.26,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,October,2465.96,23693.52,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2016,September,2511.18,19592.59,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,April,3047.61,31486.85,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,August,2254.58,16167.41,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,December,4263.78,47015.19,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,February,3499.25,41048.33,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,January,3076.32,31045.5,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,July,2412.08,17286.3,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,June,2616.35,22024.63,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,March,4414.25,51374.63,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,May,3053.6,27753.33,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,November,3603.08,36140.93,1888,Office,29750.0
6303414,Halifax City Hall,kWh (kilowatt-hours),2017,October,2501.85,20783.89,1888,Office,29750.0
